Proband;Alter;Alter_Gruppe;Geschlecht;Bildung;PC_Nutzung_pJ;PC_Nutzung_bJ;PC_Nutzung_pS;PC_Nutzung_bS;Kenntnisse_Betriebssystem;Kenntnisse_Internet;Kenntnisse_Programme;Betriebssystem_Win;Betriebssystem_Mac;Betriebssystem_Linux;Betriebssystem_Andere;Schwere;bekannt;UrsacheNennen;Lokation;Stabilitaet;Kontrollierbarkeit;Globalitaet;Aufgabe
48;20;1;1;5;8;6;2;0;7;7;5;1;0;0;0;6;6;Ich habe den Link zur Bauverordnung nicht gefunden. In diesem Fall war mir die Navigationsleiste nicht hilfreich.;5;5;3;5;2
48;20;1;1;5;8;6;2;0;7;7;5;1;0;0;0;6;7;Es würde aus den Menüpunken nicht deutlich wo das bereits abgenomme Gewicht anzuzeigen ist.;6;4;3;6;6
49;19;1;2;1;5;3;2;1;2;5;3;1;0;0;0;6;4;Nur sehr wenig Erfahrung mit diesem Programm.;1;5;4;5;3
49;19;1;2;1;5;3;2;1;2;5;3;1;0;0;0;7;4;Keine Erfahrung mit dieser Aufgabe.;1;7;4;5;4
49;19;1;2;1;5;3;2;1;2;5;3;1;0;0;0;5;6;Die App war mir nicht vertraut, also habe ich keine Details herausgefunden.;4;6;2;6;6
50;30;2;1;5;18;18;2;2;5;5;4;1;0;0;0;5;6;Begrifflichkeit nicht in Übersicht gefunden;5;5;5;6;2
50;30;2;1;5;18;18;2;2;5;5;4;1;0;0;0;4;3;Zu geringe Kenntnisse;3;6;3;3;4
50;30;2;1;5;18;18;2;2;5;5;4;1;0;0;0;3;7;Entweder einfach Lösung übersehen oder Punkt nicht leicht genug auffindbar;4;4;4;6;6
61;23;1;1;5;15;5;1;2;7;7;5;1;0;0;0;6;7;Ich empfinde die Seite immernoch als ziemlich unübersichtlich und 'nervig ' auf dieser etwas zu suchen( vorallem, weil man die Suchfunktion nicht nutzen darf!!)  Deswegen entschied ich mich diese Aufgabe vorzeitig abzubrechen.;1;3;4;2;2
61;23;1;1;5;15;5;1;2;7;7;5;1;0;0;0;5;7;Entweder es steht nicht zur Verfügung  ODER  Ich hab es nicht gesehen.;4;4;3;4;6
62;55;3;1;3;3;1;1;2;2;2;1;1;0;0;0;7;7;Schwahe kentnise.;1;7;7;7;1
